Discipline,Gender,Event,order,ENG Description,POR Description,ENG longdescription,POR longdescription,Team Event
SW,W,105,82,Women's 50m Freestyle - S5,50m livre feminino - S5,Women's 50m Freestyle - S5,50m livre feminino - S5,N
SW,W,106,83,Women's 50m Freestyle - S6,50m livre feminino - S6,Women's 50m Freestyle - S6,50m livre feminino - S6,N
SW,W,107,84,Women's 50m Freestyle - S7,50m livre feminino - S7,Women's 50m Freestyle - S7,50m livre feminino - S7,N
SW,W,108,85,Women's 50m Freestyle - S8,50m livre feminino - S8,Women's 50m Freestyle - S8,50m livre feminino - S8,N
SW,W,109,86,Women's 50m Freestyle - S9,50m livre feminino - S9,Women's 50m Freestyle - S9,50m livre feminino - S9,N
SW,W,110,87,Women's 50m Freestyle - S10,50m livre feminino - S10,Women's 50m Freestyle - S10,50m livre feminino - S10,N
SW,W,111,88,Women's 50m Freestyle - S11,50m livre feminino - S11,Women's 50m Freestyle - S11,50m livre feminino - S11,N
SW,W,112,89,Women's 50m Freestyle - S12,50m livre feminino - S12,Women's 50m Freestyle - S12,50m livre feminino - S12,N
SW,W,113,90,Women's 50m Freestyle - S13,50m livre feminino - S13,Women's 50m Freestyle - S13,50m livre feminino - S13,N
SW,W,123,91,Women's 100m Freestyle - S3,100m livre feminino - S3,Women's 100m Freestyle - S3,100m livre feminino - S3,N
SW,W,125,92,Women's 100m Freestyle - S5,100m livre feminino - S5,Women's 100m Freestyle - S5,100m livre feminino - S5,N
SW,W,126,93,Women's 100m Freestyle - S6,100m livre feminino - S6,Women's 100m Freestyle - S6,100m livre feminino - S6,N
SW,W,127,94,Women's 100m Freestyle - S7,100m livre feminino - S7,Women's 100m Freestyle - S7,100m livre feminino - S7,N
SW,W,128,95,Women's 100m Freestyle - S8,100m livre feminino - S8,Women's 100m Freestyle - S8,100m livre feminino - S8,N
SW,W,129,96,Women's 100m Freestyle - S9,100m livre feminino - S9,Women's 100m Freestyle - S9,100m livre feminino - S9,N
SW,W,130,97,Women's 100m Freestyle - S10,100m livre feminino - S10,Women's 100m Freestyle - S10,100m livre feminino - S10,N
SW,W,131,98,Women's 100m Freestyle - S11,100m livre feminino - S11,Women's 100m Freestyle - S11,100m livre feminino - S11,N
SW,W,133,99,Women's 100m Freestyle - S13,100m livre feminino - S13,Women's 100m Freestyle - S13,100m livre feminino - S13,N
SW,W,165,100,Women's 200m Freestyle - S5,200m livre feminino - S5,Women's 200m Freestyle - S5,200m livre feminino - S5,N
SW,W,174,101,Women's 200m Freestyle - S14,200m livre feminino - S14,Women's 200m Freestyle - S14,200m livre feminino - S14,N
SW,W,186,102,Women's 400m Freestyle - S6,400m livre feminino - S6,Women's 400m Freestyle - S6,400m livre feminino - S6,N
SW,W,187,103,Women's 400m Freestyle - S7,400m livre feminino - S7,Women's 400m Freestyle - S7,400m livre feminino - S7,N
SW,W,188,104,Women's 400m Freestyle - S8,400m livre feminino - S8,Women's 400m Freestyle - S8,400m livre feminino - S8,N
SW,W,189,105,Women's 400m Freestyle - S9,400m livre feminino - S9,Women's 400m Freestyle - S9,400m livre feminino - S9,N
SW,W,190,106,Women's 400m Freestyle - S10,400m livre feminino - S10,Women's 400m Freestyle - S10,400m livre feminino - S10,N
SW,W,191,107,Women's 400m Freestyle - S11,400m livre feminino - S11,Women's 400m Freestyle - S11,400m livre feminino - S11,N
SW,W,193,108,Women's 400m Freestyle - S13,400m livre feminino - S13,Women's 400m Freestyle - S13,400m livre feminino - S13,N
SW,W,205,133,Women's 50m Butterfly - S5,50m borboleta feminino - S5,Women's 50m Butterfly - S5,50m borboleta feminino - S5,N
SW,W,206,134,Women's 50m Butterfly - S6,50m borboleta feminino - S6,Women's 50m Butterfly - S6,50m borboleta feminino - S6,N
SW,W,207,135,Women's 50m Butterfly - S7,50m borboleta feminino - S7,Women's 50m Butterfly - S7,50m borboleta feminino - S7,N
SW,W,228,136,Women's 100m Butterfly - S8,50m borboleta feminino - S8,Women's 100m Butterfly - S8,50m borboleta feminino - S8,N
SW,W,229,137,Women's 100m Butterfly - S9,100m borboleta feminino - S9,Women's 100m Butterfly - S9,100m borboleta feminino - S9,N
SW,W,230,138,Women's 100m Butterfly - S10,100m borboleta feminino - S10,Women's 100m Butterfly - S10,100m borboleta feminino - S10,N
SW,W,233,139,Women's 100m Butterfly - S13,50m borboleta feminino - S13,Women's 100m Butterfly - S13,50m borboleta feminino - S13,N
SW,W,303,123,Women's 50m Breaststroke - SB3,50m peito feminino - SB3,Women's 50m Breaststroke - SB3,50m peito feminino - SB3,N
SW,W,324,124,Women's 100m Breaststroke - SB4,100m peito feminino - SB4,Women's 100m Breaststroke - SB4,100m peito feminino - SB4,N
SW,W,325,125,Women's 100m Breaststroke - SB5,100m peito feminino - SB5,Women's 100m Breaststroke - SB5,100m peito feminino - SB5,N
SW,W,326,126,Women's 100m Breaststroke - SB6,100m peito feminino - SB6,Women's 100m Breaststroke - SB6,100m peito feminino - SB6,N
SW,W,327,127,Women's 100m Breaststroke - SB7,100m peito feminino - SB7,Women's 100m Breaststroke - SB7,100m peito feminino - SB7,N
SW,W,328,128,Women's 100m Breaststroke - SB8,100m peito feminino - SB8,Women's 100m Breaststroke - SB8,100m peito feminino - SB8,N
SW,W,329,129,Women's 100m Breaststroke - SB9,100m peito feminino - SB9,Women's 100m Breaststroke - SB9,100m peito feminino - SB9,N
SW,W,331,130,Women's 100m Breaststroke - SB11,100m peito feminino - SB11,Women's 100m Breaststroke - SB11,100m peito feminino - SB11,N
SW,W,333,131,Women's 100m Breaststroke - SB13,100m peito feminino - SB13,Women's 100m Breaststroke - SB13,100m peito feminino - SB13,N
SW,W,334,132,Women's 100m Breaststroke - SB14,100m peito feminino - SB14,Women's 100m Breaststroke - SB14,100m peito feminino - SB14,N
